name,artist,id,danceability,key,mode,instrumentalness,duration,time_signature,energy,loudness,speechiness,acousticness,tempo,liveness,valence,popularity,hollywood
Seaside,The Kooks,6ZygaqgtPkiahkiYJhYWhn,0.629,10,0,0,99227,4,0.422,-8.542,0.0411,0.705,129.456,0.124,0.325,"65
",1
Hoppípolla,Sigur Rós,6eTGxxQxiTFE6LfZHC33Wm,0.312,11,1,0.225,270013,4,0.543,-9.875,0.0308,0.0356,140.109,0.128,0.178,"59
",1
In Too Deep,Sum 41,68pN2UQYhwQgPy7VrCFKuV,0.566,9,1,0,207093,4,0.835,-5.885,0.0504,0.000192,116.041,0.0581,0.749,"1
",1
The Mirror's Truth,In Flames,1u6hmbx44EQRiDYvC6CYxJ,0.42,10,0,0.188,179720,4,0.976,-3.285,0.0882,8.13E-05,180.033,0.1,0.295,"0
",1
Free Fallin',Tom Petty,5GicVH0OTGMTR5bwYoXDwo,0.546,5,1,0,254413,4,0.647,-6.546,0.0254,0.0314,168.807,0.0591,0.576,"0
",1
Go Your Own Way,Fleetwood Mac,0FeCO85RKW8fDRytwXof2x,0.597,5,1,0.00106,218400,4,0.812,-12.062,0.0315,0.0219,135.68,0.102,0.823,"0
",1
Gimme Shelter,The Rolling Stones,1Rkx7ve9RqSuQ877R3X2HO,0.633,1,0,0.0363,270760,4,0.649,-8.272,0.0311,0.464,118.629,0.17,0.457,"0
",1
Primo Victoria,Sabaton,3E1b0oOWfFnXRvFoCvPEVZ,0.438,6,0,3.75E-06,250693,4,0.768,-6.094,0.0323,0.000798,62.113,0.222,0.57,"0
",1
Mmm Mmm Mmm Mmm,Crash Test Dummies,0yA1MBQ60SoiYt7xqdS3H1,0.585,3,1,2.22E-05,233267,4,0.564,-7.579,0.0226,0.236,92.949,0.0609,0.383,"50
",1
One,U2,0q52QGBWeEY1cMgHJCKhDD,0.552,0,1,0.00115,276133,4,0.466,-10.869,0.0274,0.236,90.702,0.128,0.34,"0
",1
One More Time,Daft Punk,0DiWol3AO6WpXZgp0goxAV,0.611,2,1,0,320357,4,0.697,-8.618,0.133,0.0193,122.752,0.332,0.476,"76
",1
Porcelain,Moby,2oqcM9cd19JrVS9jAvciUm,0.551,0,0,0.188,241160,4,0.628,-7.874,0.0294,0.00133,95.03,0.282,0.336,"0
",1
Last Request,Paolo Nutini,6xM8oBy40nK1rOd8WmoOPx,0.605,5,1,0,220413,4,0.704,-6.564,0.0476,0.241,80.925,0.137,0.4,"69
",1
Distortion Sleep,Soilwork,78icKPnMK7IW9Qhnai1eHQ,0.366,2,1,0.00799,225907,4,0.954,-6.157,0.161,7.62E-05,160.132,0.0432,0.32,"0
",1
The Number Of The Beast - 1998 Remastered Version,Iron Maiden,1s4Ie0cT6P73SRSfh3oyGW,0.42,2,0,0.00675,291373,4,0.93,-5.583,0.0638,0.0189,99.641,0.264,0.344,"0
",1
Mamma Mia,ABBA,5ztQHTm1YQqcTkQmgDEU4n,0.748,2,1,0.000333,215110,4,0.771,-7.01,0.0318,0.28,137.543,0.466,0.782,"0
",1
Lithium,Nirvana,2DrEeo4eMULdAVe1U7P9PB,0.687,7,1,0,257133,4,0.685,-5.854,0.0367,0.00145,123.147,0.0657,0.359,"0
",1
Close To Me,The Cure,4xiyq1iRdsxuU1BPUJ490Z,0.724,11,1,0.703,203267,4,0.523,-11.139,0.116,0.0745,185.075,0.0811,0.965,"70
",1
Down Under,Men At Work,46RVKt5Edm1zl0rXhPJZxz,0.746,11,0,0.0261,220867,4,0.79,-4.7,0.0257,0.0485,107.231,0.0534,0.891,"75
",1
Forever Young,Alphaville,4S1VYqwfkLit9mKVY3MXoo,0.489,9,0,0.0028,226706,4,0.483,-9.466,0.0275,0.42,136.822,0.236,0.333,"75
",1
White Winter Hymnal,Fleet Foxes,4LKiFDUTwsqX8K3Up8I8K0,0.623,6,0,0,147027,4,0.524,-9.031,0.0271,0.444,124.915,0.333,0.611,"0
",1
Electric Feel,MGMT,3FtYbEfBqAlGO46NUDQSAt,0.763,1,1,0.28,229640,3,0.807,-3.714,0.035,0.0714,103.038,0.348,0.559,"79
",1
Boys Don't Cry,The Cure,1QFh8OH1e78dGd3VyJZCAC,0.462,11,0,0,155973,4,0.836,-5.766,0.0621,0.00517,168.766,0.18,0.671,"75
",1
She Moves In Her Own Way,The Kooks,5xoUgPXbMNUmoHU0Enwtwq,0.41,7,1,0,169307,4,0.803,-5.363,0.0623,0.239,153.315,0.103,0.814,"72
",1
Freestyler,Bomfunk MC's,4eZO97RGFo7IN6gm24Nv0S,0.824,11,0,0.376,306000,4,0.925,-5.814,0.0965,0.0263,163.854,0.247,0.554,"58
",1
Talk,Coldplay,4wzt5Rrk3W98pHXAqutuJw,0.415,7,0,0.00202,311292,4,0.554,-10.839,0.0334,0.00541,120.318,0.155,0.163,"63
",1
(Everything I Do) I Do It For You,Bryan Adams,0iFCiaAWiXP4ItlwQaPOvX,0.524,1,1,1.37E-05,393827,4,0.429,-10.064,0.0279,0.0803,131.206,0.0726,0.239,"0
",1
Nemo,Nightwish,76vUmbVfaldbl3w9UMeB3z,0.494,0,0,8.38E-05,276200,4,0.735,-6.326,0.0348,0.000185,125.042,0.086,0.359,"0
",1
Ironic,Alanis Morissette,4oGTdOClZUxcM2H3UmXlwL,0.295,11,1,0,225933,4,0.593,-7.572,0.0555,0.25,85.482,0.236,0.37,"59
",1
Walking in Memphis,Marc Cohn,5fgkjhICZnqFctrV0AyuQD,0.567,0,1,0,252613,4,0.512,-8.831,0.0357,0.547,130.269,0.296,0.334,"71
",1
White Trash Beautiful,Everlast,70bxulvjnkuu1NBeJtUK7m,0.622,7,1,0.00999,241333,4,0.704,-5.222,0.0275,0.011,79.973,0.0634,0.464,"0
",1
All My Life,Foo Fighters,5vMDvp6nUnTYhl5NMpgOnL,0.582,5,1,0.000273,262733,4,0.597,-5.671,0.0512,0.000194,167.738,0.517,0.674,"0
",1
Elegi,Lars Winnerbäck,4gb6ik72fZW6pzm5EJb39z,0.54,4,1,0.0542,274893,4,0.585,-6.964,0.029,0.147,93.965,0.128,0.655,"0
",1
You Can't Hurry Love,Phil Collins,4YUlGNZfYA6EUE5KDsGqpC,0.639,7,1,0,175347,4,0.923,-5.708,0.032,0.0674,97.874,0.0879,0.761,"0
",1
Sleeping My Day Away,D-A-D,1LfAxXcY6bAAaPZFfk2cWf,0.448,8,1,2.21E-05,263773,4,0.763,-11.366,0.0447,0.00846,145.872,0.0607,0.672,"45
",1
Home,Michael Bublé,4wLZ4zPM9c4oe1VV8ejdWV,0.608,7,1,1.87E-05,225907,4,0.37,-9.207,0.0306,0.844,127.631,0.112,0.349,"64
",1
Wicked Game - Remastered,Chris Isaak,5l91KHr9uF8wdSdtRoZba8,0.664,9,1,0.00978,286880,4,0.553,-7.723,0.0264,0.743,112.52,0.0838,0.287,"64
",1
